分类: 📺央视频道, 名称: CCTV-1, 有效: 10, IPv4: 156, IPv6: 0, 最小延迟: 102 ms, 最高速率: 54.50 M/s, 平均速率: 15.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: mpeg2video, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-2, 有效: 10, IPv4: 154, IPv6: 0, 最小延迟: 57 ms, 最高速率: 85.73 M/s, 平均速率: 15.06 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-3, 有效: 13, IPv4: 147, IPv6: 0, 最小延迟: 91 ms, 最高速率: 59.19 M/s, 平均速率: 13.72 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-4, 有效: 15, IPv4: 165, IPv6: 0, 最小延迟: 71 ms, 最高速率: 62.86 M/s, 平均速率: 6.43 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5, 有效: 10, IPv4: 156, IPv6: 0, 最小延迟: 61 ms, 最高速率: 80.41 M/s, 平均速率: 26.33 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5+, 有效: 8, IPv4: 116, IPv6: 0, 最小延迟: 55 ms, 最高速率: 73.43 M/s, 平均速率: 30.76 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-6, 有效: 8, IPv4: 149, IPv6: 0, 最小延迟: 65 ms, 最高速率: 79.33 M/s, 平均速率: 28.15 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-7, 有效: 9, IPv4: 144, IPv6: 0, 最小延迟: 75 ms, 最高速率: 69.00 M/s, 平均速率: 10.48 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-8, 有效: 11, IPv4: 146, IPv6: 0, 最小延迟: 60 ms, 最高速率: 88.26 M/s, 平均速率: 31.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-9, 有效: 10, IPv4: 149, IPv6: 0, 最小延迟: 79 ms, 最高速率: 62.40 M/s, 平均速率: 19.32 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-10, 有效: 16, IPv4: 145, IPv6: 0, 最小延迟: 77 ms, 最高速率: 67.51 M/s, 平均速率: 17.72 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
