温馨提示,#genre#
免费分享,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=BOh9Xt&tk=IaRTZBNZkJti
4K频道,#genre#
CCTV-16奥林匹克4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=gL7FWg&tk=IaRTZBNZkJti
CCTV-4K超高清,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=dcf8eW&tk=IaRTZBNZkJti
北京卫视4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=pWPaxn&tk=IaRTZBNZkJti
东方卫视4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=SCSWxU&tk=IaRTZBNZkJti
江苏卫视4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=pFLJcy&tk=IaRTZBNZkJti
浙江卫视4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=XhWfxB&tk=IaRTZBNZkJti
山东卫视4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=QDTzO8&tk=IaRTZBNZkJti
湖南卫视4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=01RBk6&tk=IaRTZBNZkJti
广东卫视4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=uFe51z&tk=IaRTZBNZkJti
深圳卫视4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=fSBH0N&tk=IaRTZBNZkJti
四川卫视4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=GDDcQj&tk=IaRTZBNZkJti
欢笑剧场4K,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=SUUmND&tk=IaRTZBNZkJti
港台测试,#genre#
凤凰中文台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=WJwPRr&tk=IaRTZBNZkJti
凤凰资讯台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=sz0hY1&tk=IaRTZBNZkJti
凤凰香港台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=wsz9I1&tk=IaRTZBNZkJti
TVB翡翠台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=huSRh6&tk=IaRTZBNZkJti
无线新闻台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=KCep61&tk=IaRTZBNZkJti
TVB Plus,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=C2rXqm&tk=IaRTZBNZkJti
TVB星河,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=w1Y0Jd&tk=IaRTZBNZkJti
TVB千禧经典台,http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=z5nqtK&tk=IaRTZBNZkJti
Now星影(国),http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=vWmjmM&tk=IaRTZBNZkJti
Now爆谷(国),http://kkk.888.3116598.xyz/api.php?n=xxxtw&id=eOPNK5&tk=IaRTZBNZkJti
