
央视频道,#genre#

CCTV1,http://120.211.62.180:8000/hls/1/index.m3u8
CCTV2,http://120.211.62.180:8000/hls/2/index.m3u8
CCTV3,https://tvpull.careryun.com/live/02b04ee89a7bea25b7778c181285fd0b.m3u8?txSecret=7e4ec46581a0e079a32202ea984c8428&txTime=68f4d75a
CCTV4,http://120.211.62.180:8000/hls/4/index.m3u8
CCTV5,https://tvpull.careryun.com/live/2fe3f8cc14c276a4d713fd6b9842e787.m3u8?txSecret=2ad58f18cd715554961a95bc236e6838&txTime=68f4d9d8
CCTV6,http://www.dsk.cc/php/bfgd.php?id=cctv6&m.m3u8
CCTV7,http://120.211.62.180:8000/hls/7/index.m3u8
CCTV8,http://www.dsk.cc/php/bfgd.php?id=cctv8&m.m3u8
CCTV9,http://120.211.62.180:8000/hls/9/index.m3u8
CCTV10,http://120.211.62.180:8000/hls/10/index.m3u8
CCTV11,http://120.211.62.180:8000/hls/11/index.m3u8
CCTV12,http://120.211.62.180:8000/hls/12/index.m3u8
CCTV13,http://120.211.62.180:8000/hls/13/index.m3u8
CCTV14,http://120.211.62.180:8000/hls/14/index.m3u8
CCTV15,http://120.211.62.180:8000/hls/15/index.m3u8
CCTV16,http://www.dsk.cc/php/bfgd.php?id=cctv16&m.m3u8
CCTV17,http://120.211.62.180:8000/hls/17/index.m3u8
CCTV4美洲,http://z.b.bkpcp.top/m.php?id=cctv4m
CCTV4欧洲,http://z.b.bkpcp.top/m.php?id=cctv4o
CCTV5+,http://120.211.62.180:8000/hls/18/index.m3u8
CGTN,http://120.211.62.180:8000/hls/16/index.m3u8
CGTN纪录,https://english-livebkali.cgtn.com/live/doccgtn.m3u8
卫视频道,#genre#

北京卫视,http://120.211.62.180:8000/hls/35/index.m3u8
东方卫视,hhttp://219.157.60.114:7001/rtp/225.1.4.85:1114
天津卫视,http://120.211.62.180:8000/hls/36/index.m3u8
重庆卫视,http://219.157.60.114:7001/rtp/225.1.4.157:1308
黑龙江卫视,http://219.157.60.114:7001/rtp/225.1.4.91:1120
辽宁卫视,http://120.211.62.180:8000/hls/37/index.m3u8
吉林卫视,http://219.157.60.114:7001/rtp/225.1.4.174:1309
延边卫视,http://live.ybtvyun.com/video/s10006-d48b8590849c/index.m3u8
内蒙古卫视,http://219.157.60.114:7001/rtp/225.1.4.45:1074
河北卫视,http://120.211.62.180:8000/hls/19/index.m3u8
河南卫视,http://120.211.62.180:8000/hls/40/index.m3u8
山东卫视,http://120.211.62.180:8000/hls/38/index.m3u8
山东教育卫视,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
山西卫视,http://219.157.60.114:7001/rtp/225.1.4.38:1067
湖南卫视,http://120.211.62.180:8000/hls/30/index.m3u8
湖北卫视,http://219.157.60.114:7001/rtp/225.1.4.89:1118
广东卫视,http://219.157.60.114:7001/rtp/225.1.4.166:1207
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8
深圳卫视,http://219.157.60.114:7001/rtp/225.1.4.90:1119
大湾区卫视,http://z.b.bkpcp.top/m.php?id=dwqws
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
广西卫视,http://219.157.60.114:7001/rtp/225.1.4.31:1060
海南卫视,http://219.157.60.114:7001/rtp/225.1.4.195:1310
三沙卫视,http://219.157.60.114:7001/rtp/225.1.4.234:1280
安徽卫视,http://120.211.62.180:8000/hls/33/index.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8?
江苏卫视,http://120.211.62.180:8000/hls/32/index.m3u8
江西卫视,http://219.157.60.114:7001/rtp/225.1.4.139:1305
福建东南卫视,http://120.211.62.180:8000/hls/34/index.m3u8
厦门卫视,http://219.157.60.114:7001/rtp/225.1.4.95:1124
海峡卫视,http://goo.bkpcp.top/mg/hxws
云南卫视,http://120.211.62.180:8000/hls/39/index.m3u8
贵州卫视,http://219.157.60.114:7001/rtp/225.1.4.122:1302
四川卫视,http://219.157.60.114:7001/rtp/225.1.4.151:1306
陕西卫视,http://zb.5kds.com/sx.php
农林卫视,http://gxlive.snrtv.com/nlws-SD.m3u8
甘肃卫视,http://219.157.60.114:7001/rtp/225.1.4.42:1071
宁夏卫视,http://219.157.60.114:7001/rtp/225.1.4.43:1072
青海卫视,http://219.157.60.114:7001/rtp/225.1.4.44:1073
新疆卫视,http://219.157.60.114:7001/rtp/225.1.4.47:1076
