更新日期,#genre#
2026-04-19,https://cnb.cool/junchao.tang/jtv/-/git/raw/main/Pictures/Robot.mp4
📺┃广东频道,#genre#
广州综合,https://cdn13.178.indevs.in/163189/b13471c5de99d1c7$IPV4•线路1
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe$IPV4•线路2
广州综合,http://r.jdshipin.com/iR6Gq$IPV4•线路3
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487$IPV4•线路4
广州综合,rtsp://183.59.56.116:554/PLTV/88888905/224/3221230104/453207146.smil?0&accountinfo=%7E%7EV2.0%7EzPzHhhIQTsmwS_6SJEwFCg%7EzJeEdQQK6GK7r2Q5jZjxjKYhZiHklGs8wg1XyXUSKdk5d8f2s2AYjzO2-qcyDeaExan3Pra4cuU_Whoju6BKGf666OGX7-GKwJrfpZjwyfM~ExtInfoWNHSPSTb+3AG0FnUkYLPMw=-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2$IPV4•线路5
广州综合,http://r.jdshipin.com/snhya$IPV4•线路6
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd$IPV4•线路7
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=e381ab098841a0badbf7e11f24143cf7&txTime=18e6ff43701$IPV4•线路8
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8$IPV4•线路9
广州综合,http://113.95.132.166:554/rtp/239.253.43.71:5146$IPV4•线路10
广州综合,http://183.30.201.121:10002/rtp/239.253.43.71:5146$IPV4•线路11
广州综合,http://58.63.66.57:8888/rtp/239.253.43.71:5146$IPV4•线路12
广州综合,http://iptv.cqshushu.com/gddf.php?id=gzzh&token=5c8e9229d26964074bfdc4de1aacec9f$IPV4•线路13
广州综合,http://115.29.208.41:34567/gd.php?id=gzzh$IPV4•线路14
广州综合,http://115.29.208.41:34567/gd.php?id=1175$IPV4•线路15
广州综合,http://tencentplaygzrb01.gztv.com/live/zonghes.m3u8$IPV4•线路16
广州综合,http://www.3344.uk:8888/rtp/239.253.43.66:5146$IPV4•线路17
广州综合,http://tencentplaygzrb.gztv.com/sec/zonghes.m3u8$IPV4•线路18
广州新闻,https://cdn13.178.indevs.in/163189/609602b1e1048784$IPV4•线路1
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen$IPV4•线路2
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=6f73647cae387d01a3c2132074132a83&txTime=18d00acf487$IPV4•线路3
广州新闻,rtsp://183.59.131.100:554/PLTV/88888905/224/3221230113/453206913.smil?0&accountinfo=%7E%7EV2.0%7E0SFQT4d134tJBYGpDmeXDQ%7EzJeEdQQK6GK7r2Q5jZjxjKYhZiHklGs8wg1XyXUSKdk5d8f2s2AYjzO2-qcyDeaExan3Pra4cuU_Whoju6BKGf666OGX7-GKwJrfpZjwyfM~ExtInfoWNHSPSTb+3AG0FnUkYLPMw=-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2$IPV4•线路4
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=4c09e8c2d093bcb692e036ae54ff87c7&txTime=1903e37cd8a$IPV4•线路5
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d217bd6cf85c93e3b47b96504cd2dc1c&txTime=18e6ff29019$IPV4•线路6
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3$IPV4•线路7
广州新闻,http://113.95.132.166:554/rtp/239.253.43.72:5146$IPV4•线路8
广州新闻,http://183.30.201.121:10002/rtp/239.253.43.72:5146$IPV4•线路9
广州新闻,http://58.63.66.57:8888/rtp/239.253.43.72:5146$IPV4•线路10
广州新闻,http://115.29.208.41:34567/gd.php?id=1176$IPV4•线路11
广州新闻,http://115.29.208.41:34567/gd.php?id=gzxw$IPV4•线路12
广州新闻,http://tencentplaygzrb01.gztv.com/live/xinwen.m3u8$IPV4•线路13
广州新闻,http://www.3344.uk:8888/rtp/239.253.43.67:5146$IPV4•线路14
广州新闻,http://tencentplaygzrb.gztv.com/sec/xinwen.m3u8$IPV4•线路15
广东珠江,http://cdn2.163189.xyz/163189/gdzj$IPV4•线路1
广东珠江,http://67.220.71.199:2347/livehttpplay?channel_id=20144$IPV4•线路2
广东珠江,http://119.123.77.106:8086/hls/47/index.m3u8$IPV4•线路3
广东珠江,http://119.123.76.242:8086/hls/47/index.m3u8$IPV4•线路4
广东珠江,http://119.123.77.33:8086/hls/47/index.m3u8$IPV4•线路5
广东珠江,http://119.123.78.182:8086/hls/47/index.m3u8$IPV4•线路6
广东珠江,http://119.123.79.102:8086/hls/47/index.m3u8$IPV4•线路7
广东珠江,http://119.123.79.244:8086/hls/47/index.m3u8$IPV4•线路8
广东珠江,http://119.123.176.46:8086/hls/47/index.m3u8$IPV4•线路9
广东珠江,http://119.123.179.177:8086/hls/47/index.m3u8$IPV4•线路10
广东珠江,http://119.123.176.16:8086/hls/47/index.m3u8$IPV4•线路11
广东珠江,http://119.123.176.249:8086/hls/47/index.m3u8$IPV4•线路12
广东珠江,http://119.123.177.183:8086/hls/47/index.m3u8$IPV4•线路13
广东珠江,http://119.123.179.158:8086/hls/47/index.m3u8$IPV4•线路14
广东珠江,http://220.231.188.194:8088/hls/29/index.m3u8$IPV4•线路15
广东珠江,http://8.138.7.223/tv/gdzj.m3u8$IPV4•线路16
广东珠江,http://go.bkpcp.top/mg/gdzj$IPV4•线路17
广东珠江,http://14.152.102.71:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路18
广东珠江,http://120.87.19.109:80/PLTV/88888973/224/3221225765/10000100000000060000000000337113_0.smil/01.m3u8?fmt=ts2hls,244,01.m3u8&accountinfo=UoQbCSdhOfs+Fhzpjb+WON1faRQ9pU15SBx6EULzJM/q63EjPL5/UXSVfEKzDq3xO19uH5hdTnCFTMsbtW1pkQWZ1F4+6A1eDkDeh5XZlpvpn23wIF+ldb6dnBPa8zHj,END&tenantId=8601$IPV4•线路19
广东珠江,http://m.061899.xyz/mg/gdzj$IPV4•线路20
广东珠江,http://38.75.136.137:98/gslb/dsdqpub/gdzja.m3u8?auth=testpub$IPV4•线路21
广东珠江,http://38.75.136.137:98/gslb/dsdqpub/gdzj.m3u8?auth=testpub$IPV4•线路22
广东珠江,http://107.150.60.122/live/gdzj.m3u8$IPV4•线路23
广东珠江,http://192.151.150.154/live/gdzj.m3u8$IPV4•线路24
广东珠江,http://198.204.228.26/live/gdzj.m3u8$IPV4•线路25
广东珠江,http://iptv.4666888.xyz/iptv2A.php?id=19$IPV4•线路26
