💝联通线路【半网通】,#genre#
CCTV1,http://39.134.52.215/PLTV/88888888/224/3221226443/index.m3u8
CCTV2,http://39.134.52.215/PLTV/88888888/224/3221226843/index.m3u8
CCTV3,http://39.134.52.215/PLTV/88888888/224/3221226898/index.m3u8
CCTV4,http://39.134.52.215/PLTV/88888888/224/3221226845/index.m3u8
CCTV5,http://39.134.52.215/PLTV/88888888/224/3221226900/index.m3u8
CCTV6,http://39.134.52.215/PLTV/88888888/224/3221226847/index.m3u8
CCTV7,http://39.134.52.215/PLTV/88888888/224/3221227067/index.m3u8
CCTV8,http://39.134.52.215/PLTV/88888888/224/3221226902/index.m3u8
CCTV9,http://39.134.52.215/PLTV/88888888/224/3221226849/index.m3u8
CCTV10,http://39.134.52.215/PLTV/88888888/224/3221226904/index.m3u8
CCTV11,http://39.134.52.215/PLTV/88888888/224/3221226851/index.m3u8
CCTV12,http://39.134.52.215/PLTV/88888888/224/3221226906/index.m3u8
CCTV13,http://39.134.52.215/PLTV/88888888/224/3221226853/index.m3u8
CCTV14,http://39.134.52.215/PLTV/88888888/224/3221226464/index.m3u8
CCTV15,http://39.134.52.215/PLTV/88888888/224/3221226855/index.m3u8
CCTV16,http://39.134.52.215/PLTV/88888888/224/3221226910/index.m3u8
CCTV17,http://39.134.52.215/PLTV/88888888/224/3221226857/index.m3u8
CCTV5+,http://39.134.52.215/PLTV/88888888/224/3221226912/index.m3u8
辽宁卫视,http://39.134.52.215/PLTV/88888888/224/3221226461/index.m3u8
辽宁都市,http://39.134.52.214/PLTV/88888888/224/3221226914/index.m3u8
辽宁体育,http://39.134.52.214/PLTV/88888888/224/3221226916/index.m3u8
辽宁影视,http://39.134.52.214/PLTV/88888888/224/3221226861/index.m3u8
辽宁经济,http://39.134.52.214/PLTV/88888888/224/3221226869/index.m3u8
辽宁北方,http://39.134.52.214/PLTV/88888888/224/3221226865/index.m3u8
辽宁生活,http://39.134.52.214/PLTV/88888888/224/3221226918/index.m3u8
辽宁青少,http://39.134.52.214/PLTV/88888888/224/3221226863/index.m3u8
辽宁公共,http://39.134.52.214/PLTV/88888888/224/3221226922/index.m3u8
辽宁移动,http://39.134.52.214/PLTV/88888888/224/3221226867/index.m3u8
家庭理财,http://39.134.52.214/PLTV/88888888/224/3221226538/index.m3u8
沈阳新闻综合,http://39.134.52.214/PLTV/88888888/224/3221226593/index.m3u8
新动漫,http://39.134.52.214:80/PLTV/88888888/224/3221226501/index.m3u8
金鹰纪实,http://39.134.52.215/PLTV/88888888/224/3221226459/index.m3u8
金鹰卡通,http://39.134.52.215/PLTV/88888888/224/3221226543/index.m3u8
