❀沈阳移动,#genre#
CCTV1,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226443/1.m3u8
CCTV2,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226468/1.m3u8
CCTV3,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226898/1.m3u8
CCTV4,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226432/1.m3u8
CCTV5,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226900/1.m3u8
CCTV5+,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226912/1.m3u8
CCTV6,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226847/1.m3u8
CCTV7,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226925/1.m3u8
CCTV8,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226902/1.m3u8
CCTV9,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226976/1.m3u8
CCTV10,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226904/1.m3u8
CCTV11,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226851/1.m3u8
CCTV12,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227198/1.m3u8
CCTV13,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226853/1.m3u8
CCTV14,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227200/1.m3u8
CCTV15,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226855/1.m3u8
CCTV16,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226773/1.m3u8
CCTV17,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227137/1.m3u8
辽宁卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226461/1.m3u8
辽宁都市,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226524/1.m3u8
辽宁影视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226512/1.m3u8
辽宁体育,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226508/1.m3u8
辽宁生活,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226489/1.m3u8
辽宁青少,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226473/1.m3u8
辽宁北方,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226515/1.m3u8
辽宁公共,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226528/1.m3u8
辽宁经济,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226504/1.m3u8
辽宁移动,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226717/1.m3u8
沈阳新闻综合,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226593/1.m3u8
盘锦都市,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227178/1.m3u8
睛彩青少,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227140/1.m3u8
睛彩竞技,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227138/1.m3u8
睛彩广场舞,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227142/1.m3u8
睛彩篮球,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227075/1.m3u8
北京卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227226/1.m3u8
东方卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227228/1.m3u8
江苏卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227225/1.m3u8
浙江卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226618/1.m3u8
湖南卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226480/1.m3u8
湖北卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227173/1.m3u8
黑龙江卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227219/1.m3u8
深圳卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227235/1.m3u8
天津卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226926/1.m3u8
广东卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227213/1.m3u8
山东卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227233/1.m3u8
安徽卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227167/1.m3u8
四川卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226938/1.m3u8
重庆卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227207/1.m3u8
海南卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226585/1.m3u8
贵州卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226616/1.m3u8
吉林卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227229/1.m3u8
东南卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226536/1.m3u8
陕西卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226591/1.m3u8
云南卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227134/1.m3u8
河南卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227069/1.m3u8
山西卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226475/1.m3u8
江西卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227136/1.m3u8
广西卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227165/1.m3u8
河北卫视,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227132/1.m3u8
新动漫,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226501/1.m3u8
金鹰卡通,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226543/1.m3u8
嘉佳卡通,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226514/1.m3u8
优漫卡通,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226548/1.m3u8
金鹰纪实,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226459/1.m3u8
北京纪实科教,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226472/1.m3u8
家庭理财,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226538/1.m3u8
CHC影迷电影,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227162/1.m3u8
CHC家庭影院,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227164/1.m3u8
CHC动作电影,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221227093/1.m3u8
