❀营口高码[git],#genre#
CCTV1,http://39.134.51.147:6410/PLTV/11/224/3221227574/index.m3u8??servicetype=1
CCTV2,http://39.134.51.147:6410/PLTV/11/224/3221227525/index.m3u8??servicetype=1
CCTV3,http://39.134.51.147:6410/PLTV/11/224/3221227553/index.m3u8??servicetype=1
CCTV4,http://39.134.51.147:6410/PLTV/11/224/3221227556/index.m3u8??servicetype=1
CCTV5,http://39.134.51.147:6410/PLTV/11/224/3221227425/index.m3u8??servicetype=1
CCTV5+,http://39.134.51.147:6410/PLTV/11/224/3221227555/index.m3u8??servicetype=1
CCTV6,http://39.134.51.147:6410/PLTV/11/224/3221227422/index.m3u8??servicetype=1
CCTV6,http://39.134.51.147:6410/PLTV/11/224/3221227428/index.m3u8??servicetype=1
CCTV7,http://39.134.51.147:6410/PLTV/11/224/3221227528/index.m3u8??servicetype=1
CCTV8,http://39.134.51.147:6410/PLTV/11/224/3221227431/index.m3u8??servicetype=1
CCTV9,http://39.134.51.147:6410/PLTV/11/224/3221227434/index.m3u8??servicetype=1
CCTV10,http://39.134.51.147:6410/PLTV/11/224/3221227440/index.m3u8??servicetype=1
CCTV11,http://39.134.51.147:6410/PLTV/11/224/3221227443/index.m3u8??servicetype=1
CCTV12,http://39.134.51.147:6410/PLTV/11/224/3221227540/index.m3u8??servicetype=1
CCTV13,http://39.134.51.147:6410/PLTV/11/224/3221227446/index.m3u8??servicetype=1‘
CCTV14,http://39.134.51.147:6410/PLTV/11/224/3221227546/index.m3u8??servicetype=1
CCTV15,http://39.134.51.147:6410/PLTV/11/224/3221227549/index.m3u8??servicetype=1
CCTV15,http://39.134.51.147:6410/PLTV/11/224/3221227565/index.m3u8??servicetype=1
CCTV16,http://39.134.51.147:6410/PLTV/11/224/3221227455/index.m3u8??servicetype=1
CCTV17,http://39.134.51.147:6410/PLTV/11/224/3221227552/index.m3u8??servicetype=1
辽宁卫视,http://39.134.51.147:6410/PLTV/11/224/3221227570/index.m3u8??servicetype=1
辽宁体育休闲,http://39.134.51.147:6410/PLTV/11/224/3221227654/index.m3u8??servicetype=1
辽宁体育休闲,http://39.134.51.147:6410/PLTV/11/224/3221226764/index.m3u8??servicetype=1
辽宁北方,http://39.134.51.147:6410/PLTV/11/224/3221227663/index.m3u8??servicetype=1
辽宁北方,http://39.134.51.147:6410/PLTV/11/224/3221226755/index.m3u8??servicetype=1
辽宁都市,http://39.134.51.147:6410/PLTV/11/224/3221227569/index.m3u8??servicetype=1
辽宁都市,http://39.134.51.147:6410/PLTV/11/224/3221226760/index.m3u8??servicetype=1
辽宁经济,http://39.134.51.147:6410/PLTV/11/224/3221227666/index.m3u8??servicetype=1
辽宁经济,http://39.134.51.147:6410/PLTV/11/224/3221226735/index.m3u8??servicetype=1
辽宁影视剧,http://39.134.51.147:6410/PLTV/11/224/3221227651/index.m3u8??servicetype=1
辽宁影视剧,http://39.134.51.147:6410/PLTV/11/224/3221226738/index.m3u8??servicetype=1
辽宁生活,http://39.134.51.147:6410/PLTV/11/224/3221227657/index.m3u8??servicetype=1
辽宁生活,http://39.134.51.147:6410/PLTV/11/224/3221226761/index.m3u8??servicetype=1
辽宁教育青少,http://39.134.51.147:6410/PLTV/11/224/3221227660/index.m3u8??servicetype=1
辽宁教育青少,http://39.134.51.147:6410/PLTV/11/224/3221226763/index.m3u8??servicetype=1
辽宁公共,http://39.134.51.147:6410/PLTV/11/224/3221227575/index.m3u8??servicetype=1
辽宁公共,http://39.134.51.147:6410/PLTV/11/224/3221226766/index.m3u8??servicetype=1
家庭理财,http://39.134.51.147:6410/PLTV/11/224/3221227596/index.m3u8??servicetype=1
家庭理财,http://39.134.51.147:6410/PLTV/11/224/3221226754/index.m3u8??servicetype=1
新动漫,http://39.134.51.147:6410/PLTV/11/224/3221227706/index.m3u8??servicetype=1
沈阳新闻综合,http://39.134.51.147:6410/PLTV/11/224/3221227584/index.m3u8??servicetype=1
沈阳新闻综合,http://39.134.51.147:6410/PLTV/11/224/3221226895/index.m3u8??servicetype=1
辽宁移动电视,http://39.134.51.147:6410/PLTV/11/224/3221227664/index.m3u8??servicetype=1
辽宁移动电视,http://39.134.51.147:6410/PLTV/11/224/3221226982/index.m3u8??servicetype=1
盘锦都市,http://39.134.51.147:6410/PLTV/11/224/3221227659/index.m3u8??servicetype=1
黑龙江卫视,http://39.134.51.147:6410/PLTV/11/224/3221227583/index.m3u8??servicetype=1
吉林卫视,http://39.134.51.147:6410/PLTV/11/224/3221227488/index.m3u8??servicetype=1
北京卫视,http://39.134.51.147:6410/PLTV/11/224/3221227473/index.m3u8??servicetype=1
