广西移动,#genre#
BRTV卡酷少儿,http://gxyd.484947.xyz/PLTV/77777777/224/3221225730/index.m3u8?servicetype=1
BRTV纪实科教,http://gxyd.484947.xyz/PLTV/77777777/224/3221225995/index.m3u8?servicetype=1
BRTV纪实科教,http://gxyd.484947.xyz/PLTV/77777777/224/3221226410/index.m3u8?servicetype=1
CCTV-1 综合,http://gxyd.484947.xyz/PLTV/77777777/224/3221225654/index.m3u8?servicetype=1
CCTV-1 综合,http://gxyd.484947.xyz/PLTV/77777777/224/3221225934/index.m3u8?servicetype=1
CCTV-1 综合,http://gxyd.484947.xyz/PLTV/77777777/224/3221226355/index.m3u8?servicetype=1
CCTV-2 财经,http://gxyd.484947.xyz/PLTV/77777777/224/3221225657/index.m3u8?servicetype=1
CCTV-2 财经,http://gxyd.484947.xyz/PLTV/77777777/224/3221225948/index.m3u8?servicetype=1
CCTV-2 财经,http://gxyd.484947.xyz/PLTV/77777777/224/3221226360/index.m3u8?servicetype=1
CCTV-3 综艺,http://gxyd.484947.xyz/PLTV/77777777/224/3221225713/index.m3u8?servicetype=1
CCTV-3 综艺,http://gxyd.484947.xyz/PLTV/77777777/224/3221225916/index.m3u8?servicetype=1
CCTV-3 综艺,http://gxyd.484947.xyz/PLTV/77777777/224/3221226358/index.m3u8?servicetype=1
CCTV-4 中文国际,http://gxyd.484947.xyz/PLTV/77777777/224/3221225761/index.m3u8?servicetype=1
CCTV-4 中文国际,http://gxyd.484947.xyz/PLTV/77777777/224/3221225922/index.m3u8?servicetype=1
CCTV-4 中文国际,http://gxyd.484947.xyz/PLTV/77777777/224/3221226361/index.m3u8?servicetype=1
CCTV-5 体育,http://gxyd.484947.xyz/PLTV/77777777/224/3221225660/index.m3u8?servicetype=1
CCTV-5 体育,http://gxyd.484947.xyz/PLTV/77777777/224/3221225801/index.m3u8?servicetype=1
CCTV-5 体育,http://gxyd.484947.xyz/PLTV/77777777/224/3221225842/index.m3u8?servicetype=1
CCTV-5 体育,http://gxyd.484947.xyz/PLTV/77777777/224/3221225925/index.m3u8?servicetype=1
CCTV-5 体育,http://gxyd.484947.xyz/PLTV/77777777/224/3221226359/index.m3u8?servicetype=1
CCTV-5+ 体育赛事,http://gxyd.484947.xyz/PLTV/77777777/224/3221225712/index.m3u8?servicetype=1
CCTV-5+ 体育赛事,http://gxyd.484947.xyz/PLTV/77777777/224/3221225998/index.m3u8?servicetype=1
CCTV-5+ 体育赛事,http://gxyd.484947.xyz/PLTV/77777777/224/3221226363/index.m3u8?servicetype=1
CCTV-6 电影,http://gxyd.484947.xyz/PLTV/77777777/224/3221225715/index.m3u8?servicetype=1
CCTV-6 电影,http://gxyd.484947.xyz/PLTV/77777777/224/3221225936/index.m3u8?servicetype=1
CCTV-6 电影,http://gxyd.484947.xyz/PLTV/77777777/224/3221226366/index.m3u8?servicetype=1
CCTV-7 国防军事,http://gxyd.484947.xyz/PLTV/77777777/224/3221225700/index.m3u8?servicetype=1
CCTV-7 国防军事,http://gxyd.484947.xyz/PLTV/77777777/224/3221225892/index.m3u8?servicetype=1
CCTV-7 国防军事,http://gxyd.484947.xyz/PLTV/77777777/224/3221226364/index.m3u8?servicetype=1
CCTV-8 电视剧,http://gxyd.484947.xyz/PLTV/77777777/224/3221225716/index.m3u8?servicetype=1
CCTV-8 电视剧,http://gxyd.484947.xyz/PLTV/77777777/224/3221226001/index.m3u8?servicetype=1
CCTV-8 电视剧,http://gxyd.484947.xyz/PLTV/77777777/224/3221226362/index.m3u8?servicetype=1
CCTV-9 纪录,http://gxyd.484947.xyz/PLTV/77777777/224/3221225663/index.m3u8?servicetype=1
CCTV-9 纪录,http://gxyd.484947.xyz/PLTV/77777777/224/3221225939/index.m3u8?servicetype=1
CCTV-9 纪录,http://gxyd.484947.xyz/PLTV/77777777/224/3221226365/index.m3u8?servicetype=1
CCTV-10 科教,http://gxyd.484947.xyz/PLTV/77777777/224/3221225704/index.m3u8?servicetype=1
CCTV-10 科教,http://gxyd.484947.xyz/PLTV/77777777/224/3221226004/index.m3u8?servicetype=1
CCTV-10 科教,http://gxyd.484947.xyz/PLTV/77777777/224/3221226369/index.m3u8?servicetype=1
CCTV-11 戏曲,http://gxyd.484947.xyz/PLTV/77777777/224/3221225739/index.m3u8?servicetype=1
CCTV-11 戏曲,http://gxyd.484947.xyz/PLTV/77777777/224/3221225895/index.m3u8?servicetype=1
